id,friendly_url,name,alternate_name,post,latitude,longitude,bounds_northeast_latitude,bounds_northeast_longitude,bounds_southwest_latitude,bounds_southwest_longitude,viewport_northeast_latitude,viewport_northeast_longitude,viewport_southwest_latitude,viewport_southwest_longitude,type,parent_id,place_id,formatted_address,old_id
37477,whyalla-stuart,Whyalla Stuart,Whyalla Stuart,5608,-33.024507,137.525492,-33.009584,137.531763,-33.05174,137.501542,-33.009584,137.531763,-33.05174,137.501542,suburb,106,ChIJHWm8a81Tu2oR0P-OYlQ2AwU,"Whyalla Stuart SA, Australia",13803
37478,whyalla-jenkins,Whyalla Jenkins,Whyalla Jenkins,5609,-33.022138,137.511412,-33.014602,137.519015,-33.042462,137.501465,-33.014602,137.519015,-33.042462,137.501465,suburb,106,ChIJ05So38pTu2oR4P-OYlQ2AwU,"Whyalla Jenkins SA 5609, Australia",13804
37479,edillilie,Edillilie,Edillilie,5630,-34.411982,135.707637,-34.342689,135.777416,-34.477156,135.550351,-34.342689,135.777416,-34.477156,135.550351,suburb,106,ChIJBcylAQXWq2oRkNeOYlQ2AwQ,"Edillilie SA 5630, Australia",13805
37480,cockaleechie,Cockaleechie,Cockaleechie,5631,-34.205287,135.843794,-34.169111,135.953025,-34.289661,135.777065,-34.169111,135.953025,-34.289661,135.777065,suburb,106,ChIJf3Mxaxg-qWoRQO-OYlQ2AwQ,"Cockaleechie SA 5631, Australia",13806
37481,cummins,Cummins,Cummins,5631,-34.264179,135.727596,-34.169121,135.778402,-34.378995,135.489519,-34.169121,135.778402,-34.378995,135.489519,suburb,106,ChIJXbFsF5yYqWoRgNeOYlQ2AwQ,"Cummins SA 5631, Australia",13807
37482,kapinnie,Kapinnie,Kapinnie,5632,-34.148372,135.496037,-34.087436,135.60853,-34.246767,135.439161,-34.087436,135.60853,-34.246767,135.439161,suburb,106,ChIJQ8oZjbMLqWoREPCOYlQ2AwQ,"Kapinnie SA 5632, Australia",13808
37483,yeelanna,Yeelanna,Yeelanna,5632,-34.137904,135.726248,-34.048552,135.778899,-34.171601,135.607506,-34.048552,135.778899,-34.171601,135.607506,suburb,106,ChIJwbl_xa4PqWoRoPKOYlQ2AwQ,"Yeelanna SA 5632, Australia",13809
37484,boonerdo,Boonerdo,Boonerdo,5633,-33.609729,135.997295,-33.486618,136.045744,-33.637745,135.906827,-33.486618,136.045744,-33.637745,135.906827,suburb,106,ChIJM1AhJMCkqGoRIBiPYlQ2AwQ,"Boonerdo SA 5633, Australia",13810
37485,lock,Lock,Lock,5633,-33.568193,135.757296,-33.483396,135.907432,-33.692681,135.557144,-33.483396,135.907432,-33.692681,135.557144,suburb,106,ChIJEc41AVWRqGoRsNeOYlQ2AwQ,"Lock SA 5633, Australia",13811
37486,campoona,Campoona,Campoona,5640,-33.509219,136.388774,-33.469924,136.499988,-33.638594,136.323554,-33.469924,136.499988,-33.638594,136.323554,suburb,106,ChIJ0W-QaMrxpWoRMPCOYlQ2AwQ,"Campoona SA 5640, Australia",13812
